Stage 18 => Total: 103, Pass: 99, noPass: 4, PassRate: 0.961165
Stage 19 => Total: 99, Pass: 93, noPass: 6, PassRate: 0.939394
Stage 20 => Total: 93, Pass: 93, noPass: 0, PassRate: 1.000000
Stage 21 => Total: 93, Pass: 91, noPass: 2, PassRate: 0.978495
Stage 22 => Total: 91, Pass: 90, noPass: 1, PassRate: 0.989011
Stage 23 => Total: 90, Pass: 89, noPass: 1, PassRate: 0.988889
Stage 24 => Total: 89, Pass: 88, noPass: 1, PassRate: 0.988764
Stage 25 => Total: 88, Pass: 88, noPass: 0, PassRate: 1.000000
Stage 26 => Total: 88, Pass: 87, noPass: 1, PassRate: 0.988636
Stage 27 => Total: 87, Pass: 83, noPass: 4, PassRate: 0.954023
Stage 28 => Total: 83, Pass: 83, noPass: 0, PassRate: 1.000000
Stage 29 => Total: 83, Pass: 68, noPass: 15, PassRate: 0.819277
Stage 30 => Total: 68, Pass: 66, noPass: 2, PassRate: 0.970588
Stage 31 => Total: 66, Pass: 64, noPass: 2, PassRate: 0.969697
Stage 32 => Total: 64, Pass: 62, noPass: 2, PassRate: 0.968750
Stage 33 => Total: 62, Pass: 58, noPass: 4, PassRate: 0.935484
Stage 34 => Total: 58, Pass: 53, noPass: 5, PassRate: 0.913793
Stage 35 => Total: 53, Pass: 53, noPass: 0, PassRate: 1.000000
Stage 36 => Total: 53, Pass: 50, noPass: 3, PassRate: 0.943396
Stage 37 => Total: 50, Pass: 48, noPass: 2, PassRate: 0.960000
Stage 38 => Total: 48, Pass: 48, noPass: 0, PassRate: 1.000000

Scale: 3.814697, FrameSum: 2132, P: 17, N: 2115, PFrate: 0.007974
Stage 1 => Total: 2132, Pass: 563, noPass: 1569, PassRate: 0.264071
Stage 2 => Total: 563, Pass: 377, noPass: 186, PassRate: 0.669627
Stage 3 => Total: 377, Pass: 249, noPass: 128, PassRate: 0.660477
Stage 4 => Total: 249, Pass: 244, noPass: 5, PassRate: 0.979920
Stage 5 => Total: 244, Pass: 210, noPass: 34, PassRate: 0.860656
Stage 6 => Total: 210, Pass: 136, noPass: 74, PassRate: 0.647619
Stage 7 => Total: 136, Pass: 130, noPass: 6, PassRate: 0.955882
Stage 8 => Total: 130, Pass: 122, noPass: 8, PassRate: 0.938462
Stage 9 => Total: 122, Pass: 112, noPass: 10, PassRate: 0.918033
Stage 10 => Total: 112, Pass: 100, noPass: 12, PassRate: 0.892857
Stage 11 => Total: 100, Pass: 97, noPass: 3, PassRate: 0.970000
Stage 12 => Total: 97, Pass: 79, noPass: 18, PassRate: 0.814433
Stage 13 => Total: 79, Pass: 74, noPass: 5, PassRate: 0.936709
Stage 14 => Total: 74, Pass: 74, noPass: 0, PassRate: 1.000000
Stage 15 => Total: 74, Pass: 71, noPass: 3, PassRate: 0.959459
Stage 16 => Total: 71, Pass: 67, noPass: 4, PassRate: 0.943662
Stage 17 => Total: 67, Pass: 56, noPass: 11, PassRate: 0.835821
Stage 18 => Total: 56, Pass: 56, noPass: 0, PassRate: 1.000000
Stage 19 => Total: 56, Pass: 54, noPass: 2, PassRate: 0.964286
Stage 20 => Total: 54, Pass: 53, noPass: 1, PassRate: 0.981481
Stage 21 => Total: 53, Pass: 52, noPass: 1, PassRate: 0.981132
Stage 22 => Total: 52, Pass: 52, noPass: 0, PassRate: 1.000000
Stage 23 => Total: 52, Pass: 51, noPass: 1, PassRate: 0.980769
Stage 24 => Total: 51, Pass: 50, noPass: 1, PassRate: 0.980392
Stage 25 => Total: 50, Pass: 49, noPass: 1, PassRate: 0.980000
Stage 26 => Total: 49, Pass: 49, noPass: 0, PassRate: 1.000000
Stage 27 => Total: 49, Pass: 46, noPass: 3, PassRate: 0.938776
Stage 28 => Total: 46, Pass: 46, noPass: 0, PassRate: 1.000000
Stage 29 => Total: 46, Pass: 40, noPass: 6, PassRate: 0.869565
Stage 30 => Total: 40, Pass: 38, noPass: 2, PassRate: 0.950000
Stage 31 => Total: 38, Pass: 28, noPass: 10, PassRate: 0.736842
Stage 32 => Total: 28, Pass: 28, noPass: 0, PassRate: 1.000000
Stage 33 => Total: 28, Pass: 28, noPass: 0, PassRate: 1.000000
Stage 34 => Total: 28, Pass: 23, noPass: 5, PassRate: 0.821429
Stage 35 => Total: 23, Pass: 23, noPass: 0, PassRate: 1.000000
Stage 36 => Total: 23, Pass: 21, noPass: 2, PassRate: 0.913043
Stage 37 => Total: 21, Pass: 18, noPass: 3, PassRate: 0.857143
Stage 38 => Total: 18, Pass: 17, noPass: 1, PassRate: 0.944444

Scale: 4.768372, FrameSum: 884, P: 27, N: 857, PFrate: 0.030543
Stage 1 => Total: 884, Pass: 209, noPass: 675, PassRate: 0.236425
Stage 2 => Total: 209, Pass: 150, noPass: 59, PassRate: 0.717703
Stage 3 => Total: 150, Pass: 113, noPass: 37, PassRate: 0.753333
Stage 4 => Total: 113, Pass: 109, noPass: 4, PassRate: 0.964602
Stage 5 => Total: 109, Pass: 98, noPass: 11, PassRate: 0.899083
Stage 6 => Total: 98, Pass: 79, noPass: 19, PassRate: 0.806122
Stage 7 => Total: 79, Pass: 74, noPass: 5, PassRate: 0.936709
Stage 8 => Total: 74, Pass: 70, noPass: 4, PassRate: 0.945946
Stage 9 => Total: 70, Pass: 66, noPass: 4, PassRate: 0.942857
Stage 10 => Total: 66, Pass: 64, noPass: 2, PassRate: 0.969697
Stage 11 => Total: 64, Pass: 63, noPass: 1, PassRate: 0.984375
Stage 12 => Total: 63, Pass: 62, noPass: 1, PassRate: 0.984127
Stage 13 => Total: 62, Pass: 56, noPass: 6, PassRate: 0.903226
Stage 14 => Total: 56, Pass: 55, noPass: 1, PassRate: 0.982143
Stage 15 => Total: 55, Pass: 55, noPass: 0, PassRate: 1.000000
Stage 16 => Total: 55, Pass: 47, noPass: 8, PassRate: 0.854545
Stage 17 => Total: 47, Pass: 45, noPass: 2, PassRate: 0.957447
Stage 18 => Total: 45, Pass: 44, noPass: 1, PassRate: 0.977778
Stage 19 => Total: 44, Pass: 44, noPass: 0, PassRate: 1.000000
Stage 20 => Total: 44, Pass: 43, noPass: 1, PassRate: 0.977273
Stage 21 => Total: 43, Pass: 41, noPass: 2, PassRate: 0.953488
Stage 22 => Total: 41, Pass: 41, noPass: 0, PassRate: 1.000000
Stage 23 => Total: 41, Pass: 40, noPass: 1, PassRate: 0.975610
Stage 24 => Total: 40, Pass: 40, noPass: 0, PassRate: 1.000000
Stage 25 => Total: 40, Pass: 40, noPass: 0, PassRate: 1.000000
Stage 26 => Total: 40, Pass: 40, noPass: 0, PassRate: 1.000000
Stage 27 => Total: 40, Pass: 39, noPass: 1, PassRate: 0.975000
Stage 28 => Total: 39, Pass: 39, noPass: 0, PassRate: 1.000000
Stage 29 => Total: 39, Pass: 39, noPass: 0, PassRate: 1.000000
Stage 30 => Total: 39, Pass: 39, noPass: 0, PassRate: 1.000000
Stage 31 => Total: 39, Pass: 32, noPass: 7, PassRate: 0.820513
Stage 32 => Total: 32, Pass: 32, noPass: 0, PassRate: 1.000000
Stage 33 => Total: 32, Pass: 30, noPass: 2, PassRate: 0.937500
Stage 34 => Total: 30, Pass: 29, noPass: 1, PassRate: 0.966667
Stage 35 => Total: 29, Pass: 28, noPass: 1, PassRate: 0.965517
Stage 36 => Total: 28, Pass: 27, noPass: 1, PassRate: 0.964286
Stage 37 => Total: 27, Pass: 27, noPass: 0, PassRate: 1.000000
Stage 38 => Total: 27, Pass: 27, noPass: 0, PassRate: 1.000000

Scale: 5.960464, FrameSum: 520, P: 22, N: 498, PFrate: 0.042308
Stage 1 => Total: 520, Pass: 136, noPass: 384, PassRate: 0.261538
Stage 2 => Total: 136, Pass: 99, noPass: 37, PassRate: 0.727941
Stage 3 => Total: 99, Pass: 74, noPass: 25, PassRate: 0.747475
Stage 4 => Total: 74, Pass: 69, noPass: 5, PassRate: 0.932432
Stage 5 => Total: 69, Pass: 65, noPass: 4, PassRate: 0.942029
Stage 6 => Total: 65, Pass: 50, noPass: 15, PassRate: 0.769231
Stage 7 => Total: 50, Pass: 47, noPass: 3, PassRate: 0.940000
Stage 8 => Total: 47, Pass: 47, noPass: 0, PassRate: 1.000000
Stage 9 => Total: 47, Pass: 47, noPass: 0, PassRate: 1.000000
Stage 10 => Total: 47, Pass: 44, noPass: 3, PassRate: 0.936170
Stage 11 => Total: 44, Pass: 44, noPass: 0, PassRate: 1.000000
Stage 12 => Total: 44, Pass: 41, noPass: 3, PassRate: 0.931818
Stage 13 => Total: 41, Pass: 37, noPass: 4, PassRate: 0.902439
Stage 14 => Total: 37, Pass: 37, noPass: 0, PassRate: 1.000000
